Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
42021014005P4,Direito,UNILASALLE,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
24003018001P7,DIREITO,UNIPÊ,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42009014013P4,Direito,UPF,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33002029051P9,Direito,USP-RIBEIRÃO PRETO,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41016017006P8,DIREITO,UNOCHAPECÓ,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
22002014008P0,DIREITO E GESTÃO DE CONFLITOS,UNIFOR,Mestrado Profissional,PROFISSIONAL,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
51001012101P5,DIREITO,UFMS,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41001010158P2,DIREITO,UFSC,Mestrado Profissional,PROFISSIONAL,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
29010004001P8,DIREITO,UNIFG,Mestrado,ACADÊMICO,4,EM DESATIVACAO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
22012010001P0,DIREITO,UNI7,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
43002005001P9,DIREITO,FMP,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
23009004003P0,DIREITO,UNICHRISTUS,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41015010008P4,DIREITO,UNESC,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
35016000001P3,DIREITO TRIBUTÁRIO INTERNACIONAL E COMPARADO,IBDT,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42003016057P3,DIREITO,UFPEL,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41005015012P0,DIREITO DAS MIGRAÇÕES TRANSNACIONAIS,UNIVALI,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Sim,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
53023013002P9,DIREITOS SOCIAIS E PROCESSOS REIVINDICATÓRIOS,IESB,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
35133007001P5,"DIREITO, JUSTIÇA E DESENVOLVIMENTO",IDP-SP,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
53069005001P2,DIREITO E PODER JUDICIÁRIO,ENFAM,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40005011173P0,DIREITO,UEPG,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41025016002P8,DIREITO E DESENVOLVIMENTO SUSTENTÁVEL,UNIFACVEST,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41006011015P5,DIREITO,FURB,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
28003012007P6,DIREITO,UCSAL,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
52016013003P0,DIREITO,UNIALFA,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
