Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
53001010111P0,"DIREITO, REGULAÇÃO E POLÍTICAS PÚBLICAS",UNB,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
12001015174P2,DIREITO,UFAM,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
35019000001P6,DIREITO TRIBUTÁRIO,IBET,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33006016018P1,DIREITO,PUC-CAMPINAS,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
14001012162P0,DIREITO,UNIFAP,Mestrado,ACADÊMICO,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
53019016004P8,DIREITO ECONÔMICO E DESENVOLVIMENTO,IDP-BSB,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40022013009P0,DIREITO,UP,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33082014006P2,DIREITO E GESTÃO DE CONFLITOS,UNIARA,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
23003014073P5,DIREITO,UFERSA,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
21001014083P2,DIREITO,UFPI,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31005012159P2,DIREITO CIVIL CONTEMPORÂNEO E PRÁTICA JURÍDICA,PUC-RIO,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO CIVIL,CIÊNCIAS SOCIAIS APLICADAS
26006014003P4,DIREITO,CESMAC,Mestrado,ACADÊMICO,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33076014008P9,DIREITO,UNISA,Mestrado,ACADÊMICO,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33177015001P8,DIREITO,FACAMP,Mestrado,ACADÊMICO,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
11015004001P0,DIREITO,FCR,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
35110007001P2,POLÍTICAS PÚBLICAS DE DESENVOLVIMENTO E EFETIVIDADE DO DIREITO,FDF,Mestrado,ACADÊMICO,A,EM PROJETO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
25002015011P9,DIREITO E INOVAÇÃO,UNICAP,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
