Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
20009011042P2,DIREITO E AFIRMAÇÃO DE VULNERÁVEIS,UNICEUMA,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31001017130P9,DIREITO,UFRJ,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33145016002P6,Direito,FGV-DIREITO SP,Mestrado Profissional/Doutorado Profissional,PROFISSIONAL,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
32006012027P8,Direito,UFU,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42051010001P4,DIREITO,ATITUS EDUCAÇÃO,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31003010080P8,Direito Constitucional,UFF,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO CONSTITUCIONAL,CIÊNCIAS SOCIAIS APLICADAS
31021018015P9,DIREITO,UNIRIO,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42043018003P8,Direito,UNIRITTER,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
32083017001P4,Direito Ambiental e Desenvolvimento Sustentável,ESDHC,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42007011033P2,DIREITO DA EMPRESA E DOS NEGÓCIOS,UNISINOS,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
